Datum;Last;Erzeugung
3.1.22 22:00;307.176;113.196
3.1.22 22:15;295.964;113.326
3.1.22 22:30;291.798;113.380
3.1.22 22:45;285.241;113.517
3.1.22 23:00;283.499;114.712
3.1.22 23:15;288.121;115.665
3.1.22 23:30;271.348;115.263
3.1.22 23:45;276.795;115.950
4.1.22 0:00;267.918;114.277
4.1.22 0:15;279.705;114.686
4.1.22 0:30;265.879;115.154
4.1.22 0:45;260.962;116.542
4.1.22 1:00;259.390;116.468
4.1.22 1:15;267.418;117.231
4.1.22 1:30;241.941;117.407
4.1.22 1:45;243.125;117.874
4.1.22 2:00;248.114;119.123
4.1.22 2:15;240.513;119.036
4.1.22 2:30;255.616;118.439
4.1.22 2:45;231.274;115.169
4.1.22 3:00;229.192;105.373
4.1.22 3:15;243.301;92.217
4.1.22 3:30;251.446;86.634
4.1.22 3:45;252.089;85.815
4.1.22 4:00;232.593;82.516
4.1.22 4:15;230.928;82.533
4.1.22 4:30;245.514;84.541
4.1.22 4:45;253.654;92.179
4.1.22 5:00;258.288;102.550
4.1.22 5:15;243.694;109.149
4.1.22 5:30;258.172;112.083
4.1.22 5:45;267.378;112.260
4.1.22 6:00;275.512;112.038
4.1.22 6:15;268.897;111.040
4.1.22 6:30;285.154;111.411
4.1.22 6:45;300.190;111.024
4.1.22 7:00;295.797;112.076
4.1.22 7:15;299.739;118.425
4.1.22 7:30;317.893;125.193
4.1.22 7:45;329.381;123.670
4.1.22 8:00;324.386;122.321
4.1.22 8:15;303.032;121.708
4.1.22 8:30;335.453;122.213
4.1.22 8:45;342.992;123.207
4.1.22 9:00;347.646;122.418
4.1.22 9:15;327.130;122.947
4.1.22 9:30;342.370;122.573
4.1.22 9:45;350.473;123.168
4.1.22 10:00;344.235;123.814
4.1.22 10:15;329.685;124.431
4.1.22 10:30;347.940;124.345
4.1.22 10:45;350.990;124.662
4.1.22 11:00;356.498;123.839
4.1.22 11:15;342.989;125.349
4.1.22 11:30;352.029;124.692
4.1.22 11:45;365.906;124.145
4.1.22 12:00;360.840;122.324
4.1.22 12:15;341.275;122.860
4.1.22 12:30;354.909;122.894
4.1.22 12:45;343.348;122.236
4.1.22 13:00;345.014;125.161
4.1.22 13:15;346.452;124.652
4.1.22 13:30;344.328;124.807
4.1.22 13:45;354.953;123.260
4.1.22 14:00;358.896;126.685
4.1.22 14:15;360.197;128.178
4.1.22 14:30;352.229;127.342
4.1.22 14:45;352.849;127.321
4.1.22 15:00;353.398;128.446
4.1.22 15:15;351.388;127.863
4.1.22 15:30;342.423;127.331
4.1.22 15:45;365.637;126.609
4.1.22 16:00;354.827;120.614
4.1.22 16:15;344.995;129.458
4.1.22 16:30;350.073;133.099
4.1.22 16:45;353.082;133.337
4.1.22 17:00;354.316;131.330
4.1.22 17:15;331.127;132.683
4.1.22 17:30;352.125;132.561
4.1.22 17:45;355.190;131.693
4.1.22 18:00;353.876;133.073
4.1.22 18:15;352.542;132.885
4.1.22 18:30;367.928;132.946
4.1.22 18:45;369.273;133.805
4.1.22 19:00;373.662;134.399
4.1.22 19:15;351.930;133.921
4.1.22 19:30;351.027;133.395
4.1.22 19:45;356.623;132.363
4.1.22 20:00;361.750;133.819
